frame,id,class,x1,y1,x2,y2,conf,cx,cy,area
2,135,2,216.46681,436.305,271.8657,492.63025,0.9732968211174011,244.166259765625,464.4676208496094,3120.3562
2,136,3,260.0959,185.76967,316.11542,250.93608,0.8162769675254822,288.10565185546875,218.35287475585938,3650.5918
2,137,3,231.9857,316.60623,287.456,370.58908,0.7380419373512268,259.7208557128906,343.59765625,2994.4443
3,135,2,216.4417,430.02438,271.20895,486.80637,0.9361779093742371,243.8253173828125,458.4153747558594,3109.7935
3,137,3,231.80305,322.46304,286.15082,377.91183,0.8036848306655884,258.9769287109375,350.18743896484375,3013.5178
3,138,2,245.22534,563.6781,298.16675,628.98,0.9417362809181213,271.696044921875,596.3290405273438,3457.1733
3,136,3,260.75354,186.37314,316.5167,252.67029,0.7337323427200317,288.6351318359375,219.52171325683594,3696.938
4,135,2,216.05074,426.4777,270.64694,483.3958,0.9389906525611877,243.34884643554688,454.936767578125,3107.5134
4,137,3,231.01663,329.99628,286.16818,384.56534,0.8525466322898865,258.5924072265625,357.28082275390625,3009.5684
4,138,2,246.07681,563.8646,299.44235,629.77075,0.9195159673690796,272.75958251953125,596.8176879882812,3517.116
4,136,3,261.05502,186.59258,317.53326,252.83928,0.7564582824707031,289.29412841796875,219.71592712402344,3741.4973
5,135,2,215.85004,423.35626,269.33032,478.26447,0.9677351713180542,242.59017944335938,450.81036376953125,2936.5063
5,138,2,245.61145,561.9491,298.57956,628.3765,0.9218105673789978,272.09552001953125,595.162841796875,3518.5354
5,136,3,261.67456,186.03043,319.15674,252.24069,0.7631970643997192,290.4156494140625,219.13555908203125,3805.9104
5,137,3,230.44504,337.57745,284.99445,393.97913,0.7796360850334167,257.7197265625,365.7782897949219,3076.6777
6,135,2,216.27112,421.0267,270.32925,476.25983,0.9523743987083435,243.30018615722656,448.64324951171875,2985.7998
6,136,3,264.24603,183.90425,321.2006,250.38524,0.8005432486534119,292.72332763671875,217.14474487304688,3786.3953
6,137,3,229.89795,345.9679,284.34302,400.31088,0.9135415554046631,257.1204833984375,373.139404296875,2958.7078
6,138,2,244.91565,560.16296,297.86447,627.9998,0.9027256369590759,271.39007568359375,594.0814208984375,3591.8813
7,135,2,216.72144,419.8248,271.12952,475.53748,0.9539658427238464,243.92547607421875,447.68115234375,3031.2197
7,136,3,267.53714,183.74696,325.13962,249.929,0.9174724221229553,296.33837890625,216.83798217773438,3812.2493
7,138,2,243.62424,558.5772,296.91428,627.17267,0.9006673693656921,270.2692565917969,592.8749389648438,3655.4546
7,137,3,228.97096,353.58447,284.2596,412.42444,0.7911651134490967,256.61529541015625,383.00445556640625,3253.1824
8,135,2,217.46599,420.5971,271.6755,475.9228,0.9548459649085999,244.57073974609375,448.25994873046875,2999.1787
8,136,3,271.3001,183.85892,328.65717,250.6893,0.8971213102340698,299.9786376953125,217.27410888671875,3833.194
8,138,2,241.38815,556.6811,295.04077,621.75275,0.8908548355102539,268.2144775390625,589.2169189453125,3491.2646
8,137,3,229.36305,361.77966,283.9908,416.1512,0.7402344942092896,256.67694091796875,388.9654541015625,2970.1963
9,135,2,218.62209,424.00473,272.8353,477.58484,0.9531343579292297,245.72869873046875,450.7947998046875,2904.7498
9,136,3,275.3538,184.11497,333.37192,251.31621,0.8623178005218506,304.36285400390625,217.71559143066406,3898.8896
9,137,3,228.16608,369.14572,283.9707,421.54303,0.9463856220245361,256.0683898925781,395.3443603515625,2924.0122
9,138,2,240.10687,554.4781,293.6439,619.8755,0.8983614444732666,266.8753662109375,587.1767578125,3501.182
10,135,2,218.99391,426.3676,272.73825,482.8113,0.9094231128692627,245.8660888671875,454.5894775390625,3033.529
10,136,3,277.1263,184.54565,335.35632,252.59622,0.8114483952522278,306.2413330078125,218.57093811035156,3962.5852
10,137,3,227.94344,373.86157,283.56955,427.05066,0.9643709659576416,255.75650024414062,400.45611572265625,2958.7021
10,138,2,237.3538,551.8061,291.72708,615.9938,0.834670901298523,264.5404357910156,583.89990234375,3490.0945
11,135,2,219.23976,432.2621,272.57837,485.85873,0.9456227421760559,245.9090576171875,459.0604248046875,2858.7708
11,136,3,281.3077,185.0402,337.4896,253.07742,0.8994857668876648,309.3986511230469,219.05880737304688,3822.459
11,137,3,228.26521,378.393,284.15216,430.016,0.9406695365905762,256.20867919921875,404.2044982910156,2885.051
11,138,2,236.13896,549.8016,291.24725,615.7153,0.8904275894165039,263.693115234375,582.7584228515625,3632.391
12,135,2,218.76326,437.95996,272.0131,490.90125,0.9436362385749817,245.38818359375,464.43060302734375,2819.1145
12,136,3,284.53397,188.4951,340.8744,254.89284,0.9442476034164429,312.70416259765625,221.6939697265625,3740.8765
12,137,3,229.33925,382.3193,285.9087,435.74915,0.9452511668205261,257.62396240234375,409.03424072265625,3022.4963
12,138,2,234.42096,546.7941,288.28235,613.9056,0.9064842462539673,261.3516540527344,580.349853515625,3614.7158
